"","res_name_group"
"210","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"211","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"212","TPO"
"213","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"214","ZN"
"215","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"216","MLI_MLA_IVA_ASJ"
"217","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"218","MG"
"219","NAG_NDG_A2G_NGA_MAG"
"220","CU"
"221","MG"
"222","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"223","CL"
"224","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"225","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"226","EDO_BME_ETA"
"227","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"228","IOD"
"229","NAG_NDG_A2G_NGA_MAG"
"230","ZN"
"231","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"232","NA"
"233","HEM"
"234","PEG_DEP"
"235","CL"
"236","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"237","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"238","MG"
"239","U5P_C5P_TMP_UMP_UP6_2YR"
"240","HEM"
"241","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"242","HEM"
"243","ACE_NH2_FMT_SCN_EOH_AZI_NO2_FEO_IUM_CO2_CCN_EMC_C2O_N2O"
"244","ZN"
"245","CL"
"246","NAD_NAP"
"247","EDO_BME_ETA"
"248","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"249","EDO_BME_ETA"
"250","UDP"
"251","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"252","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"253","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"254","NAG_NDG_A2G_NGA_MAG"
"255","FAD_FDA"
"256","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"257","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"258","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"259","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"260","EDO_BME_ETA"
"261","HEM"
"262","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"263","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"264","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"265","HG"
"266","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"267","NA"
"268","MG"
"269","ACE_NH2_FMT_SCN_EOH_AZI_NO2_FEO_IUM_CO2_CCN_EMC_C2O_N2O"
"270","EPE"
"271","NI"
"272","K"
"273","MES"
"274","MG"
"275","NAG_NDG_A2G_NGA_MAG"
"276","ZN"
"277","CL"
"278","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"279","ACE_NH2_FMT_SCN_EOH_AZI_NO2_FEO_IUM_CO2_CCN_EMC_C2O_N2O"
"280","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"281","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"282","NAD_NAP"
"283","CA"
"284","BA"
"285","MG"
"286","EPE"
"287","K"
"288","PLP_PMP_PLR"
"289","ZN"
"290","EDO_BME_ETA"
"291","CL"
"292","HEM"
"293","K"
"294","ZN"
"295","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"296","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"297","NAD_NAP"
"298","PEG_DEP"
"299","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"300","ZN"
"301","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"302","FAD_FDA"
"303","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"304","CL"
"305","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"306","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"307","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"308","MAL_LAT_CBI_LBT"
"309","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"310","CA"
"311","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"312","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"313","MG"
"314","ZN"
"315","PSU"
"316","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"317","ADE_AZA_GUN_PRF"
"318","MG"
"319","HEM"
"320","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"321","CU"
"322","CD"
"323","NA"
"324","CU"
"325","PLP_PMP_PLR"
"326","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"327","NAG_NDG_A2G_NGA_MAG"
"328","ZN"
"329","CL"
"330","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"331","PLP_PMP_PLR"
"332","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"333","MG"
"334","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"335","NAD_NAP"
"336","CL"
"337","NA"
"338","EDO_BME_ETA"
"339","CA"
"340","EDO_BME_ETA"
"341","CIT_FLC_NCD"
"342","EDO_BME_ETA"
"343","ZN"
"344","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"345","CD"
"346","FE2"
"347","CME"
"348","CSO"
"349","MES"
"350","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"351","NAG_NDG_A2G_NGA_MAG"
"352","ZN"
"353","NA"
"354","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"355","ZN"
"356","HEM"
"357","CIT_FLC_NCD"
"358","CO"
"359","CA"
"360","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"361","PLP_PMP_PLR"
"362","EDO_BME_ETA"
"363","NA"
"364","NAG_NDG_A2G_NGA_MAG"
"365","NAG_NDG_A2G_NGA_MAG"
"366","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"367","NA"
"368","LMT_DMU_MA4_UMQ_LMU_CM5"
"369","NAG_NDG_A2G_NGA_MAG"
"370","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"371","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"372","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"373","HEC_COH"
"374","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"375","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"376","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"377","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"378","FE"
"379","ZN"
"380","SEP"
"381","EDO_BME_ETA"
"382","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"383","BA"
"384","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"385","HEM"
"386","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"387","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"388","CA"
"389","CA"
"390","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"391","MLI_MLA_IVA_ASJ"
"392","ZN"
"393","NAD_NAP"
"394","NAD_NAP"
"395","FAD_FDA"
"396","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"397","MG"
"398","ZN"
"399","TRS"
"400","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"401","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"402","CL"
"403","ZN"
"404","CA"
"405","UDP"
"406","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"407","CL"
"408","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"409","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"410","MN"
"411","HEM"
"412","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"413","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"414","PEG_DEP"
"415","BR"
"416","NAG_NDG_A2G_NGA_MAG"
"417","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"418","SF4_F3S"
"419","FES"
"420","HG"
"421","CA"
"422","EDO_BME_ETA"
"423","MG"
"424","NAD_NAP"
"425","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"426","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"427","CA"
"428","8OG"
"429","EPE"
"430","MG"
"431","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"432","NAG_NDG_A2G_NGA_MAG"
"433","MG"
"434","FE2"
"435","MG"
"436","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"437","CA"
"438","K"
"439","NAG_NDG_A2G_NGA_MAG"
"440","HEM"
"441","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"442","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"443","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"444","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"445","NA"
"446","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"447","CA"
"448","EDO_BME_ETA"
"449","CL"
"450","HEM"
"451","HEM"
"452","CSD"
"453","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"454","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"455","ZN"
"456","CL"
"457","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"458","ZN"
"459","HEM"
"460","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"461","NI"
"462","CA"
"463","BTB"
"464","FE2"
"465","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"466","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"467","CL"
"468","ZN"
"469","TYS"
"470","RET_REA_RTL"
"471","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"472","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"473","CSD"
"474","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"475","FAD_FDA"
"476","K"
"477","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"478","CL"
"479","SEP"
"480","ZN"
"481","HEM"
"482","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"483","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"484","CA"
"485","NA"
"486","NAD_NAP"
"487","HEC_COH"
"488","CAS"
"489","ZN"
"490","NAG_NDG_A2G_NGA_MAG"
"491","BOG_BNG_BHG_HTG"
"492","EDO_BME_ETA"
"493","SAH"
"494","CA"
"495","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"496","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"497","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"498","EDO_BME_ETA"
"499","BEN_BAM"
"500","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"501","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"502","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"503","HEM"
"504","ZN"
"505","CSD"
"506","AMP_5GP_CMP_IMP_PCG_XMP"
"507","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"508","CIT_FLC_NCD"
"509","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"510","EDO_BME_ETA"
"511","BEZ_PHB_MBO_SAL_NCA_NPO_NIO_DHB"
"512","ZN"
"513","TLA_TAR_MLT_SRT_OAA_LMR"
"514","SAH"
"515","CA"
"516","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"517","NGT"
"518","MG"
"519","MLI_MLA_IVA_ASJ"
"520","EDO_BME_ETA"
"521","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"522","CA"
"523","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"524","CL"
"525","HEM"
"526","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"527","SAH"
"528","HYP"
"529","KCX"
"530","EDO_BME_ETA"
"531","MN"
"532","MG"
"533","MN"
"534","EDO_BME_ETA"
"535","LMT_DMU_MA4_UMQ_LMU_CM5"
"536","PTR"
"537","NA"
"538","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"539","CL"
"540","PG4_SPM_DAO_D12_PG5"
"541","EDO_BME_ETA"
"542","EDO_BME_ETA"
"543","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"544","CA"
"545","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"546","ZN"
"547","PG4_SPM_DAO_D12_PG5"
"548","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"549","EDO_BME_ETA"
"550","PGE_SPD_F09_D10"
"551","CL"
"552","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"553","MG"
"554","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"555","ZN"
"556","MG"
"557","K"
"558","SF4_F3S"
"559","FMN_RBF"
"560","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"561","BTB"
"562","MG"
"563","SAM_SFG"
"564","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"565","CSD"
"566","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"567","CA"
"568","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"569","EDO_BME_ETA"
"570","CL"
"571","NI"
"572","FAD_FDA"
"573","AMP_5GP_CMP_IMP_PCG_XMP"
"574","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"575","TTP_DCP_CTP_TYD_DUP_UTP_CDP_0KX_D3T_DUD"
"576","ZN"
"577","ZN"
"578","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"579","ZN"
"580","NAG_NDG_A2G_NGA_MAG"
"581","PGE_SPD_F09_D10"
"582","CL"
"583","OCS"
"584","U5P_C5P_TMP_UMP_UP6_2YR"
"585","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"586","PG4_SPM_DAO_D12_PG5"
"587","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"588","MAL_LAT_CBI_LBT"
"589","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"590","DAL"
"591","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"592","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"593","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"594","FMN_RBF"
"595","HEC_COH"
"596","DHE"
"597","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"598","ZN"
"599","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"600","ZN"
"601","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"602","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"603","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"604","FE"
"605","CL"
"606","LLP"
